Item,SKU Interno,Grupo,Producto,Especificación,Funcionalidad,Medidas,Compatibilidad,Comentarios Técnicos y de Venta,Imagen
1,VR-ACES-00001,Accesorios,Juego de Espejos,Tipo Original,Brindar visibilidad trasera y seguridad al conductor.,Rosca: 10mm (RH/RH),"Italika: Toda la línea FT y DT (125, 150, 200, 250), línea DM (150, 200, 250), línea Z (125Z, 150Z, 200Z, 250Z).
Honda: CGL125 Tool, Cargo 125/150, XR150L, XR190L, CBF125/150, Invicta 150.
Vento: Rocketman 250, Tornado 250, Crossmax 200/250, Falkon 200/250, Workman.
Bajaj: Pulsar NS125/160/200 (la mayoría usa 10mm, aunque algunas versiones requieren adaptador si el lado derecho es rosca inversa).
Suzuki: GN125, EN125, AX100.","Rosca 10mm estándar. En motos Bajaj/Yamaha, verificar si el lado derecho es rosca inversa (requeriría adaptador).",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fac%2FVR-ACES-00001.webp?alt=media&token=9741428f-f4e2-4bf8-91c0-437505f70cba
2,VR-ACPU-00002,Accesorios,Puños de Goma,Antiderrapante,Proporcionar agarre firme y cómodo en el manubrio.,"Diámetro: 22mm (7/8"")","Todas las Italika (FT, DT, DM, Z, RC, WS).
Todas las Honda de baja cilindrada (Tool, Cargo, XR, CB).
Todas las Vento, Yamaha, Suzuki y Kawasaki que tengan manubrio estándar.
Bajaj: Pulsar, Boxer, Discover.",Material antiderrapante. Se deben cambiar cuando la goma se siente pegajosa o el relieve se ha borrado por el uso.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fac%2FVR-ACPU-00002.jpg?alt=media&token=6f3981fa-6cee-4fcd-ba17-dd7682b3e36c
3,VR-CBCH-00003,Carburación,Chicote de Clutch,Acero autolubricado,Transmitir la presión de la manija al sistema de embrague.,"Cable: 110cm
Funda: 100cm","Italika (Línea de Trabajo y Urbanas)
Serie FT: FT125 (todas sus versiones: Clásica, Delivery, Roja, Sport), FT150 (G, GT, TS, Delivery, Grafitis).
Serie DT: DT125, DT150 (Basic, Sport, Delivery).
Serie Forza: Forza 125 y Forza 150.
Serie Delivery: Italika Delivery 150.

Honda (Modelos de Trabajo)
CGL125 Tool: Es el reemplazo exacto para todos los años de la Honda Tool.
Cargo 125: Modelos antiguos y recientes.
Cargo 150: Específicamente la versión varillera (la que no tiene el motor OHC de cadena).

Vento
Workman: 125, 150 y 250 (versiones de trabajo).
Ryder: 150.
Lithium: 150.
Cyclone: 150 y 200 (con manubrio estándar).","Autolubricado. Se recomienda revisar si hay hilos rotos cerca de las terminales; si el clutch se siente ""duro"", es hora de cambiarlo.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBCH-00003.webp?alt=media&token=68399f6e-54d4-4092-afbc-d9d8220b0cf6
4,VR-CBCH-00004,Carburación,Chicote Acelerador,Terminal Martillo,Abrir la cortina del carburador para permitir el paso de mezcla.,Largo total: 95cm,"Italika (Línea de Trabajo y Urbanas)
Serie FT: FT125 (todas sus versiones: Clásica, Delivery, Roja, Sport), FT150 (G, GT, TS, Delivery, Grafitis).
Serie DT: DT125, DT150 (Basic, Sport, Delivery).
Serie Forza: Forza 125 y Forza 150.
Serie Delivery: Italika Delivery 150.

Honda (Modelos de Trabajo)
CGL125 Tool: Es el reemplazo exacto para todos los años de la Honda Tool.
Cargo 125: Modelos antiguos y recientes.
Cargo 150: Específicamente la versión varillera (la que no tiene el motor OHC de cadena).

Vento
Workman: 125, 150 y 250 (versiones de trabajo).
Ryder: 150.
Lithium: 150.
Cyclone: 150 y 200 (con manubrio estándar).","Terminal tipo martillo. Un chicote deshilachado puede causar que el acelerador se quede pegado, lo cual es peligroso.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBCH-00004.webp?alt=media&token=e2dc4983-eb59-44a5-9804-3586810f26db
5,VR-CBCR-00005,Carburación,Carburador completo,"PZ26
Recomendado para 125cc
El Ahogador: Hay dos versiones de este carburador: el que tiene la palanca de plástico en el cuerpo y el que tiene una guía para cable que va al manillar. Asegúrate de que el tuyo sea el que tus clientes usan más (generalmente el de palanca).",Mezclar aire y gasolina en la proporción exacta para la combustión.,"Tipo de Ahogador: Manual (palanca de 3 posiciones) o preparado para cable (depende de tu proveedor, pero el más común es el de palanca lateral).
Diámetro de Admisión: 26mm
Distancia entre tornillos de sujeción: 48 mm.
Diámetro para Filtro de Aire: 38 mm.","Italika: FT125, DT125, Forza 125, 125Z, X125.
Honda: CGL125 Tool, Cargo 125.
Vento: Workman 125, Xpress 150 (versión económica).
Generales: Motores varilleros de 125cc.",Ideal para motores 125cc. Verificar si el cliente usa ahogador de palanca (manual) o de cable al manillar.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBCR-00005.avif?alt=media&token=df814b35-562b-47ca-b299-4830352d4061
6,VR-CBCR-00006,Carburación,Carburador completo,"PZ27
Recomendado para 150cc a 200cc
El Ahogador: Hay dos versiones de este carburador: el que tiene la palanca de plástico en el cuerpo y el que tiene una guía para cable que va al manillar. Asegúrate de que el tuyo sea el que tus clientes usan más (generalmente el de palanca).",Mezclar aire y gasolina para motores de cilindrada media.,"Tipo de Ahogador: Manual (palanca de 3 posiciones) o preparado para cable (depende de tu proveedor, pero el más común es el de palanca lateral).
Diámetro de Admisión: 27mm.
Distancia entre tornillos de sujeción: 48 mm.
Diámetro para Filtro de Aire: 38 mm.","Italika: FT150 (G, TS, Delivery), DT150, 150Z (Varillera), FT180, FT200.
Honda: Cargo 150 (Varillera).
Vento: Workman 150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros de 150cc, 180cc y 200c",Recomendado para motores varilleros. El mayor diámetro (27mm) permite un mejor flujo para motores de 150cc en adelante.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBCR-00006.jpg?alt=media&token=85906e37-c6c5-4dc2-902c-927fd16e8d80
7,VR-CBFA-00007,Carburación,Filtro de aire,Cilíndrico,Retener polvo e impurezas antes de que el aire entre al motor.,"Altura total: 122 mm a 125 mm.
Diámetro Exterior (el ancho del bote): 90 mm a 95 mm.
Diámetro Interior (el hueco de abajo): 52 mm a 55 mm.","Italika: FT125, FT150, DT125, DT150, Delivery 150, Forza 125.
Vento: Workman 125/150, Ryder 150 (algunos modelos).","Pieza clave para evitar el desgaste prematuro del cilindro. Cambiar cada 3,000-6,000 km según la zona de uso.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBFA-00007.webp?alt=media&token=62ebd98b-e10d-445d-8f06-8d7588417235
8,VR-CBFA-00008,Carburación,Filtro de aire,El Plano/Rectangular,Filtrar el aire de admisión en sistemas de caja cuadrada.,"Largo: 148 mm a 150 mm.
Ancho: 92 mm a 95 mm.
Grosor (espesor del marco): 20 mm a 22 mm.","Honda: CGL125 Tool (Exclusivo). Es el filtro que más se vende para Honda.
Vento: Xpress 150.",Es el filtro de mayor rotación para modelos Honda de trabajo. No es intercambiable con el cilíndrico.,https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBFA-00008.webp?alt=media&token=57d44c25-f5c1-497f-a453-de71c65b72b1
9,VR-CBFA-00009,Carburación,Filtro de aire,El de Panel Curvo,Filtrar aire en modelos deportivos/urbanos con caja de aire curva.,"Largo máximo: 185 mm a 190 mm.
Ancho máximo: 115 mm a 120 mm.
Forma: No es un rectángulo perfecto; tiene una base más ancha que la punta y es ligeramente arqueado.","Italika: 125Z, 150Z, 150SZ, 175Z","Diseño específico para la línea ""Z"" de Italika. Su forma asimétrica garantiza un sellado perfecto en el compartimento.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBFA-00009.webp?alt=media&token=da7b7184-b081-4dea-994c-0d8e29fced0d
10,VR-CBFG-00010,Carburación,Filtro de gasolina,Diámetro 6mm,Retener sedimentos y basura provenientes del tanque de combustible.,"Diámetro de boquilla: 6 mm.
Material: Cuerpo de polímero transparente con elemento filtrante de papel micrónico.","Italika: FT125, FT150, DT125, DT150, Forza, Delivery 150, 125Z, 150Z (Varillera).
Honda: CGL125 Tool, Cargo 125, Cargo 150 (Varillera).
Vento: Workman 125/150, Ryder 150, Lithium 150, Cyclone 150/200.
Generales: Motores varilleros tipo CG desde 125cc hasta 200cc.","Al ser transparente, permite ver el estado de limpieza de la gasolina. Se recomienda cambiar en cada afinación.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBFG-00010.webp?alt=media&token=ef5f104d-f3f1-493d-8649-c43afc571d64
11,VR-CBKT-00011,Carburación,Kit carburador,"PZ26: Juntas + chicleres
",Reparar los componentes internos desgastados del carburador 125cc.,"Liga de la Cuba (Empaque inferior): Diámetro de 52 mm aprox. (en su forma circular).
Distancia de tornillos del aislador: 48 mm de centro a centro.
Diámetro del Émbolo (Cortina): 20 mm (PZ26) a 22 mm (PZ27). Nota: Aquí sí hay una pequeña variación, pero a veces los kits genéricos usan la misma aguja.
Rosca del Chicler de Alta: M5 (5 mm de diámetro en la rosca).
Rosca del Chicler de Baja: M4 (4 mm de diámetro en la rosca).

Orificio Chicler Alta: 0,95 mm
Orificio Chicler Baja: 0,35 mm
Largo de la aguja: 38 mm","Italika: FT125, DT125, Forza 125, 125Z, X125.
Honda: CGL125 Tool, Cargo 125.
Vento: Workman 125, Xpress 150 (versión económica).
Generales: Motores varilleros de 125cc.","Incluye juntas, agujas y espreas. Soluciona problemas de goteo o inestabilidad en ralentí sin cambiar todo el carburador.",https://firebasestorage.googleapis.com/v0/b/vorencommx.firebasestorage.app/o/sku%2Fcb%2FVR-CBKT-00011.webp?alt=media&token=1628549b-5aab-490b-aa4e-1df3f909744e
